iso_code,country,2021_last_updated,2020_population,area_sq_km,density_sq_km,growth_rate_,world_%,rank
MAF,Saint Martin,39234,38666,53,740,1.47,0.00,214
TCA,Turks And Caicos Islands,39231,38717,948,41,1.33,0.00,215
LIE,Liechtenstein,38250,38128,160,239,0.32,0.00,216
SMR,San Marino,34017,33931,61,558,0.25,0.00,217
GIB,Gibraltar,33698,33691,6,5616,0.02,0.00,218
PLW,Palau,18169,18094,459,40,0.41,0.00,220
COK,Cook Islands,17565,17564,236,74,0.01,0.00,221
AIA,Anguilla,15117,15003,91,166,0.76,0.00,222
TUV,Tuvalu,11931,11792,26,459,1.18,0.00,223
WLF,Wallis And Futuna,11094,11239,142,78,-1.29,0.00,224
NRU,Nauru,10876,10824,21,518,0.48,0.00,225
BL,Saint Barthelemy,9907,9877,21,472,0.30,0.00,226
SPM,Saint Pierre And Miquelon,5766,5794,242,24,-0.48,0.00,227
MSR,Montserrat,4977,4992,102,49,-0.30,0.00,228
FLK,Falkland Islands,3533,3480,12173,0,1.52,0.00,229
NIU,Niue,1619,1626,260,6,-0.43,0.00,230
TKL,Tokelau,1373,1357,12,114,1.18,0.00,231
VAT,Vatican City,800,801,1,800,-0.12,0.00,232
